Torbens_MetaG_Dir_Name	taxon_oid	Domain	Sequencing_Status	Study_Name	Genome_Name_/_Sample_Name	Sequencing_Center	IMG_Genome_ID	JGI_Project_ID_/_ITS_SP_ID	Geographic_Location	GOLD_Ecosystem	GOLD_Ecosystem_Category	GOLD_Ecosystem_Subtype	GOLD_Ecosystem_Type	GOLD_Sequencing_Depth	GOLD_Sequencing_Quality	GOLD_Sequencing_Status	GOLD_Sequencing_Strategy	GOLD_Specific_Ecosystem	Habitat	Latitude	Longitude	Genome_Size_assembled	Gene_Count_assembled
1039635	3300027825	*Microbiome	Permanent Draft	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP12_OM1 (SPAdes)	DOE Joint Genome Institute (JGI)	3300027825	1039635	Calvert Island, British Columbia, Canada	Environmental	Aquatic	Wetlands	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Bog	Bog forest soil	51.62	-128.09	942212073	2058119
1039638	3300003368	*Microbiome	Permanent Draft	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP12_OM2	DOE Joint Genome Institute (JGI)	3300003368	1039638	Calvert Island, British Columbia, Canada	Environmental	Aquatic	Wetlands	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Bog	Bog forest soil	51.62	-128.09	391577947	868226
1039641	3300003219	*Microbiome	Permanent Draft	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP12_OM3	DOE Joint Genome Institute (JGI)	3300003219	1039641	Calvert Island, British Columbia, Canada	Environmental	Aquatic	Wetlands	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Bog	Bog forest soil	51.62	-128.09	433241668	951067
1039644	3300003220	*Microbiome	Permanent Draft	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP04_OM1	DOE Joint Genome Institute (JGI)	3300003220	1039644	Calvert Island, British Columbia, Canada	Environmental	Aquatic	Wetlands	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Bog	Bog forest soil	51.62	-128.09	84431304	226396
1039647	3300027698	*Microbiome	Permanent Draft	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP04_OM2 (SPAdes)	DOE Joint Genome Institute (JGI)	3300027698	1039647	Calvert Island, British Columbia, Canada	Environmental	Aquatic	Wetlands	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Bog	Bog forest soil	51.62	-128.09	448734404	1132130
1039650	3300027701	*Microbiome	Permanent Draft	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP04_OM3 (SPAdes)	DOE Joint Genome Institute (JGI)	3300027701	1039650	Calvert Island, British Columbia, Canada	Environmental	Aquatic	Wetlands	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Bog	Bog forest soil	51.62	-128.09	505932501	1248880
1039653	3300003352	*Microbiome	Permanent Draft	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP14_OM1	DOE Joint Genome Institute (JGI)	3300003352	1039653	Calvert Island, British Columbia, Canada	Environmental	Aquatic	Wetlands	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Bog	Bog forest soil	51.62	-128.09	118568907	325842
1039656	3300027783	*Microbiome	Permanent Draft	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada - ECP14_OM2 (SPAdes)	DOE Joint Genome Institute (JGI)	3300027783	1039656	Calvert Island, British Columbia, Canada	Environmental	Aquatic	Wetlands	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Bog	Bog forest soil	51.62	-128.09	724571151	1822815
1039659	3300004092	*Microbiome	Permanent Draft	Bog forest soil microbial communities from Calvert Island, British Columbia, Canada	Coassembly of ECP03_0M1, ECP03_OM2, ECP03_OM3, ECP04_OM1, ECP04_OM2, ECP04_OM3, ECP14_OM1, ECP14_OM2, ECP14_OM3	DOE Joint Genome Institute (JGI)	3300004092	1039659	Calvert Island, British Columbia, Canada	Environmental	Aquatic	Wetlands	Freshwater		Level 1: Standard Draft	Complete	Metagenome	Bog	Bog forest soil	51.62	-128.09	12170310832	35152872
1039668	3300025623	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S2LV_100m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025623	1039668	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	382735651	725551
1039674	3300025584	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S2LV_150m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025584	1039674	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	318851834	600754
1039677	3300025644	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S2LV_200m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025644	1039677	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	436120008	772013
1039680	3300025676	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S3LV_100m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025676	1039680	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	445001211	870622
1039683	3300025665	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S3LV_130m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025665	1039683	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	437513189	838425
1039686	3300003494	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S3LV_150m_DNA	DOE Joint Genome Institute (JGI)	3300003494	1039686	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	168081602	332811
1039689	3300025659	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S3LV_200m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025659	1039689	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	477099450	822728
1039692	3300003500	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S4LV_100m_DNA	DOE Joint Genome Institute (JGI)	3300003500	1039692	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	176601155	385970
1039695	3300025709	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S4LV_130m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025709	1039695	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	486868401	963305
1039698	3300025592	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S4LV_150m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025592	1039698	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	323874496	616597
1039701	3300003492	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S4LV_200m_DNA	DOE Joint Genome Institute (JGI)	3300003492	1039701	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	190135563	377232
1039704	3300003592	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI072_LV_10m_DNA	DOE Joint Genome Institute (JGI)	3300003592	1039704	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	248277646	490669
1039707	3300003588	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI072_LV_100m_DNA	DOE Joint Genome Institute (JGI)	3300003588	1039707	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	247521920	525000
1039710	3300025700	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI072_LV_120m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025700	1039710	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	461524645	927954
1039713	3300003585	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI072_LV_135m_DNA	DOE Joint Genome Institute (JGI)	3300003585	1039713	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	175667182	373310
1039716	3300003591	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI072_LV_150m_DNA	DOE Joint Genome Institute (JGI)	3300003591	1039716	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	154464305	322861
1039719	3300003590	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI072_LV_200m_DNA	DOE Joint Genome Institute (JGI)	3300003590	1039719	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	96786956	188451
1039722	3300003582	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI073_LV_10m_DNA	DOE Joint Genome Institute (JGI)	3300003582	1039722	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	237008777	466355
1039725	3300025668	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI073_LV_100m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025668	1039725	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	455395102	861389
1039728	3300025688	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI073_LV_120m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025688	1039728	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	447630184	882202
1039731	3300003596	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - Saanich Inlet SI073_LV_135m_DNA	DOE Joint Genome Institute (JGI)	3300003596	1039731	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	206167223	432393
1039734	3300003587	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI073_LV_150m_DNA	DOE Joint Genome Institute (JGI)	3300003587	1039734	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	192377443	398777
1039737	3300025452	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI073_LV_200m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025452	1039737	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	212354084	398682
1039740	3300025456	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI074_LV_10m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025456	1039740	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	230196590	424754
1039743	3300003593	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI074_LV_100m_DNA	DOE Joint Genome Institute (JGI)	3300003593	1039743	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	126115718	236535
1039746	3300003580	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - Saanich Inlet SI074_LV_120m_DNA	DOE Joint Genome Institute (JGI)	3300003580	1039746	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	169479973	319353
1039749	3300025719	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI074_LV_135m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025719	1039749	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	521526822	1014906
1039752	3300025729	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI074_LV_150m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025729	1039752	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	565130565	1084925
1039755	3300025614	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI074_LV_200m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025614	1039755	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	367969807	684200
1040232	3300025488	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S3LV_10m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025488	1040232	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	269328873	503761
1040235	3300003615	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S3LV_110m_DNA	DOE Joint Genome Institute (JGI)	3300003615	1040235	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	125615048	236750
1040238	3300025545	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S3LV_120m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025545	1040238	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	310090348	563325
1040241	3300025870	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI037_S3LV_125m_DNA (SPAdes)	DOE Joint Genome Institute (JGI)	3300025870	1040241	Saanich Inlet, British Columbia, Canada	Environmental	Aquatic	Intertidal zone	Marine		Level 1: Standard Draft	Complete	Metagenome	Unclassified	Marine	48.6	-123.5	804592008	1515808
1040244	3300005143	*Microbiome	Permanent Draft	Saline, thermophilic phototrophic and chemotrophic mat microbial communities from various locations in USA and Mexico	Hypersaline microbial mat communities from Hot Lake, Washington, USA - Hot Lake Consortium UCC-LE	DOE Joint Genome Institute (JGI)	3300005143	1040244	Hot Lake, Washington, USA	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline		Level 1: Standard Draft	Complete	Metagenome	Microbial mats	Hypersaline mat	48.972613	-119.477608	124176687	221446
1040247	3300026561	*Microbiome	Permanent Draft	Saline, thermophilic phototrophic and chemotrophic mat microbial communities from various locations in USA and Mexico	Hypersaline microbial mat communities from Hot Lake, Washington, USA - Hot Lake Consortium UCC-L28 (SPAdes)	DOE Joint Genome Institute (JGI)	3300026561	1040247	Hot Lake, Washington, USA	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline		Level 1: Standard Draft	Complete	Metagenome	Microbial mats	Hypersaline mat	48.972613	-119.477608	80217057	102502
1040256	3300025347	*Microbiome	Permanent Draft	Saline, thermophilic phototrophic and chemotrophic mat microbial communities from various locations in USA and Mexico	Hypersaline microbial mat communities from Hot Lake, Washington, USA - Hot Lake Consortium UCC-SLE (SPAdes)	DOE Joint Genome Institute (JGI)	3300025347	1040256	Hot Lake, Washington, USA	Environmental	Aquatic	Hypersaline	Non-marine Saline and Alkaline		Level 1: Standard Draft	Complete	Metagenome	Microbial mats	Hypersaline mat	48.972613	-119.477608	86609694	103669
1040262	3300003241	*Microbiome	Permanent Draft	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-BECK01-A	DOE Joint Genome Institute (JGI)	3300003241	1040262	Wisconsin, United States	Environmental	Terrestrial	Unclassified	Soil		Level 1: Standard Draft	Complete	Metagenome	Agricultural land	Soil	43.3	-89.38	383626	1203
1040265	3300026750	*Microbiome	Permanent Draft	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-BECK01-B (SPAdes)	DOE Joint Genome Institute (JGI)	3300026750	1040265	Wisconsin, United States	Environmental	Terrestrial	Unclassified	Soil		Level 1: Standard Draft	Complete	Metagenome	Agricultural land	Soil	43.3	-89.38	25020314	76560
1040268	3300003243	*Microbiome	Permanent Draft	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-BECK01-D	DOE Joint Genome Institute (JGI)	3300003243	1040268	Wisconsin, United States	Environmental	Terrestrial	Unclassified	Soil		Level 1: Standard Draft	Complete	Metagenome	Agricultural land	Soil	43.3	-89.38	373602	1206
1040271	3300027465	*Microbiome	Permanent Draft	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-BECK03-A (SPAdes)	DOE Joint Genome Institute (JGI)	3300027465	1040271	Wisconsin, United States	Environmental	Terrestrial	Unclassified	Soil		Level 1: Standard Draft	Complete	Metagenome	Agricultural land	Soil	43.3	-89.38	30848037	102307
1040274	3300027466	*Microbiome	Permanent Draft	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-BECK03-B (SPAdes)	DOE Joint Genome Institute (JGI)	3300027466	1040274	Wisconsin, United States	Environmental	Terrestrial	Unclassified	Soil		Level 1: Standard Draft	Complete	Metagenome	Agricultural land	Soil	43.3	-89.38	30662075	97003
1040277	3300003240	*Microbiome	Permanent Draft	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-BECK03-C	DOE Joint Genome Institute (JGI)	3300003240	1040277	Wisconsin, United States	Environmental	Terrestrial	Unclassified	Soil		Level 1: Standard Draft	Complete	Metagenome	Agricultural land	Soil	43.3	-89.38	288121	973
1040280	3300027470	*Microbiome	Permanent Draft	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-BECK03-D (SPAdes)	DOE Joint Genome Institute (JGI)	3300027470	1040280	Wisconsin, United States	Environmental	Terrestrial	Unclassified	Soil		Level 1: Standard Draft	Complete	Metagenome	Agricultural land	Soil	43.3	-89.38	14986323	51385
1040283	3300003249	*Microbiome	Permanent Draft	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-BECK03-E	DOE Joint Genome Institute (JGI)	3300003249	1040283	Wisconsin, United States	Environmental	Terrestrial	Unclassified	Soil		Level 1: Standard Draft	Complete	Metagenome	Agricultural land	Soil	43.3	-89.38	351327	1125
1040286	3300027472	*Microbiome	Permanent Draft	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-HINK07-D (SPAdes)	DOE Joint Genome Institute (JGI)	3300027472	1040286	Wisconsin, United States	Environmental	Terrestrial	Unclassified	Soil		Level 1: Standard Draft	Complete	Metagenome	Agricultural land	Soil	43.3	-89.38	18054749	59760
1040289	3300027469	*Microbiome	Permanent Draft	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-HINK07-E (SPAdes)	DOE Joint Genome Institute (JGI)	3300027469	1040289	Wisconsin, United States	Environmental	Terrestrial	Unclassified	Soil		Level 1: Standard Draft	Complete	Metagenome	Agricultural land	Soil	43.3	-89.38	19944295	67961
1040292	3300027473	*Microbiome	Permanent Draft	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-HINK08-D (SPAdes)	DOE Joint Genome Institute (JGI)	3300027473	1040292	Wisconsin, United States	Environmental	Terrestrial	Unclassified	Soil		Level 1: Standard Draft	Complete	Metagenome	Agricultural land	Soil	43.3	-89.38	21528187	72917
1040295	3300026820	*Microbiome	Permanent Draft	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin and Kellogg Biological Station in Michigan, replicating the bioenergy cropping systems trials (BCSTs)	Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-SCHO21-A (SPAdes)	DOE Joint Genome Institute (JGI)	3300026820	1040295	Wisconsin, United States	Environmental	Terrestrial	Unclassified	Soil		Level 1: Standard Draft	Complete	Metagenome	Agricultural land	Soil	43.3	-89.38	32821786	106770
